ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0123,Jasmine Bouquet,USUAL,True,"marigold, jasmine, honey, labdanum, benzoin, vanilla"
HRMN-0124,Bergamore,USUAL,True,"bergamot, mandarin, black tea, ginger, ambroxide, amber"
HRMN-0125,Our of Shower,USUAL,True,"bergamot, pepper, geranium, lavender, patchouli, vetiver"
HRMN-0126,Blush,USUAL,True,"zapota, melon seeds, sandalwood, magnolia, violet, hedione"
HRMN-0127,Rosie De Marrie,The Body Tale,True,"mandarin, lemon, bergamot, pear, pink pepper, rose, orange blossom, vetiver, patchouli, vanilla, caramel, amberwood"
HRMN-0128,Cherry Pop,The Body Tale,True,"bitter almond, rose, cherry, vanilla, sandal wood, tonka bean"
HRMN-0129,Sip Me Litch,The Body Tale,True,"lychee, apple, floral, sugar, amber"
HRMN-0130,Spice Nomad,The Body Tale,True,"apple, smoke, cinnamon, tobacco, moss, vetiver, vanilla"
HRMN-0131,Summer Splash,The Body Tale,True,"soda, bergamot, amber, woody, orange blossom"
HRMN-0132,Hojicha Latte,The Body Tale,True,"hojicha tea, milk, tonka bean, brown sugar, musk"
HRMN-0133,Portrait of Kyoto,The Body Tale,True,"earl grey tea, apple, honey, mandarin, jasmine, black tea, fresia, irish, musk, pepper, sandalwood, amber"
HRMN-0134,Verona,The Body Tale,True,"black currant, pink pepper, rose, geranium, patchouli, moss, vetiver, musk"
HRMN-0135,Lady M,The Body Tale,True,"balsamic, balsamic, vanilla, musk"
HRMN-0136,Kairy,The Body Tale,True,"bergamot, pink pepper, turkish rose, floral, coconut, vanilla, absolute tonka bean, cedarwood"
HRMN-0137,Nectar of Nile,The Body Tale,True,"irish, green notes, juniper berries, jasmine, orrid, root, pink pepper, vetiver, leather"
HRMN-0138,Juliette,The Body Tale,True,"cinnamon, cardamom, bergamot, jasmine, ylang ylang, sage, amber, woody, leather, labdanum"
HRMN-0139,Diana,The Body Tale,True,"strawberry, tuberose, jasmine, amber"
HRMN-0140,Teamomile,The Body Tale,True,"almond, chamomile, jasmine, musk, cedre, vanilla, bois de santal"
HRMN-0141,Plain Jane,The Body Tale,True,"lemon, bergamot, tagetes, black currant, violet, irish, cyclamen, jasmine, vetiver, musk"
HRMN-0142,Flower Dome,The Body Tale,True,"rose violet, blackberry, peomy, jasmine, musk, sandalwood, patchouli, "
HRMN-0143,Leviora,The Body Tale,True,"lily, galbanium, lily, vanila, musk, sandalwood"
HRMN-0144,Humbling Forest,Kahf,True,"cypress, rosemary, grapefruit, cedarwood, guaiac wood, jasmine., sandalwood, patchouli, musk."
HRMN-0145,Invigorating Waterfall,Kahf,True,"marine, water, lemon, cedarwood, floral, violet, dry amber, patchouli, veliver, musk "
HRMN-0146,Kahf Revered Oud,Kahf,True,"rose, lemon, fruity, amber, gourmand, vanilla, agarwood (oud), musk​"
HRMN-0147,Kahf Saffron Oud,Kahf,True,"mandarin, saffron, clove., rose, leather, oud., cedarwood, patchouli, sandalwood, musk."
HRMN-0148,True Brotherhood,Kahf,True,"cinnamon, orange, lemon., tobacco, cypress, lavender., tonka beans, cedarwood, incense."
HRMN-0149,Galleria,Alchemist Fragrance,True,"cape jasmine, plum, tuberose, oiellet, honey, redwood"
HRMN-0150,Pink Laundry,Alchemist Fragrance,True,"clean aldehydes, chamomile, green notes, jasmine, lily of the valley, rose, musky notes, patchouli, sandalwood, powdery notes"
HRMN-0151,Bois et Musc,Alchemist Fragrance,True,"black pepper, muguet, cashmeran, patchouli, musk, moss"
HRMN-0152,Cachemire,Alchemist Fragrance,True,"cinnamon bark oil, pepper pink co2, apple, rose accord, violet notes, ambrette abs, cedarwood heart, virgina, musk"
HRMN-0153,Musc Laiteux,Alchemist Fragrance,True,"pink pepper, orange flower, orris crete, transparent floral, riz au lait accord, ambrette abs, patchouli oil"
HRMN-0154,Musc Vanille,Alchemist Fragrance,True,"pink pepper, black pepper, white floral bouquet, coconut accord, musk, white woods, vanilla"
HRMN-0155,Onirique,Alchemist Fragrance,True,"pear, orange, clary sage, tuberose, orange blossom, jasmine, vanilla, cedarwood, satin musks"
