perfume,brand,top notes,mid notes,base notes
Whispers of Strength,House of Sillage,"Boysenberry, Frangipani","Indian Tuberose, Egyptian Jasmine","Amber, Vanilla"
Here to Stay,Naomi Campbell,"Raspberry, Black Currant","Rose, Jasmine","Musk, Vanilla"
Deja Vu,Teo Cabanel,"Bubble Gum, Raspberry, Citron","Iris, Jasmine Sambac, Orange Blossom","White Leather, White Musk"
Active Water,Sergio Tacchini,"Caraway, White Musk","Cedar, Egyptian Pelargonium, Sandalwood","Juniper Berries, Bergamot"
Colore Colore Pink,Parfums Genty,"Grapefruit, Lemon, Bergamot, Rose, White Flowers, Jasmine","Raspberry, Red Berries, Peach, Wild Strawberry","Woody Notes, Musk"
Opulentas,Navitus Parfums,"Apple, Lemon, Pink Pepper","Agarwood (oud), Cypriol Oil or Nagarmotha, Rose, Patchouli","Woody Notes, Amber, Oakmoss"
Clean Baby Girl,Clean,"Cyclamen, Lemon, Orange, Egyptian Pelargonium","Heliotrope, African Violet, Lavender, Ceylon Cinnamon, Ylang-ylang","White Musk, Cedar"
H2eau Golden Citrus,Clean,"Mandarin Orange, Water Notes, Bergamot","Neroli, Orange Blossom",Musk
Al Misk,Ricardo Ramos Perfumes De Autor,"Copaiba Balm, Bergamot, Absinthe","Black Pepper, Magnolia, Mace","Guaiac Wood, Musk, Gurjan Balsam"
Sweet Spoiled,Haute Fragrance Company Hfc,"Artemisia, Rum","Crithmum, Osmanthus, Labdanum","Madagascar Vanilla, Benzoin, Patchouli"
Indomptee,Lulu Castagnette,"Pineapple, Guava, Mango, Bergamot, Melon, Mandarin Orange, Black Currant","Magnolia, Rose, Lily-of-the-valley, Jasmine","Iris, Patchouli, Oakmoss, Vetiver"
Spring Narcissus,Pokrovka Trading House,"Geranium, Rose","Narcissus, Lily-of-the-valley","Vanilla, Cedar, Patchouli"
Aspire,Avon,Aldehydes,"Jasmine, African Orange Flower, Iris, Rose","Musk, Sandalwood, Virginia Cedar"
Sirenis,Les Liquides Imaginaires,"Clary Sage, Bergamot, Cardamom","Genet, Flowers, Sandalwood","Musk, Moss, Amber, Vetiver, Patchouli"
Lovely Kiss,Salvador Dali,"Grapefruit, Rhuburb, Black Currant, Sugar, Pink Pepper","Litchi, Violet, Peony","Musk, Patchouli, Virginia Cedar"
Poggia,Tiziana Terenzi,"Bergamot, Lemon, Peach, Orange","Ylang-ylang, Rosemary, Turkish Rose, Passionfruit, Green Apple","Musk, Ambergris, Vanilla"
T Shelby,Calaj,"Pineapple, Lemon, Bergamot, Grapefruit","Ozonic Notes, Myrtle, Cassia, Orange Blossom","Seaweed, Earthy Notes, Ambergris, Oakmoss, Melon, Incense, Cedar"
Strast,Brocard,"Raspberry, Mandarin Orange, Orange, Apple","Litchi, Rose, Apricot, Lily","Musk, Amber"
Cashmere Kush,Boy Smells,"Rhubarb, Pink Pepper, Aldehydes","Orris, Heliotrope, Tulip","Cashmere Wood, Ambroxan, Musk, Vetiver"
My Sin,Lanvin,"Juicy Apricot, Pear","Freesia, Rose Petals","Musk, Sandalwood"
Fortuna,Electimuss,"Saffron, Grapefruit","Lily-of-the-valley, Rose, Geranium","Agarwood (oud), Musk, Patchouli, Vetiver"
Love,Avon,"Apple Blossom, Fruity Notes, Orange","Rose, Lily-of-the-valley, Jasmine","Musk, White Woods, Vanilla"
Egeo Choc Mint,O Boticario,"Basil, Mint, Ginger, Bergamot","Sage, Geranium, Lavender, Chocolate, Davana, Cinnamon","Patchouli, Cedar, Cashmeran, Tonka Bean"
Cherchez La Femme,Faberlic,"Currant Buds, Bergamot, Lemon, Aldehydes, Mandarin Orange","Freesia, Peony, Orchid, Cardamom, Cyclamen, Rose","Guaiac Wood, Sandalwood, White Wood, Ambergris"
Dominant,Antonio Maretti,"Apple, Lemon, Cardamom","Tarragon, Sage, Geranium","Oakmoss, Vanilla, Cashmere Wood"
Cherish Escape,Avon,"Pink Grapefruit, Pear, Wild Strawberry Leaf","Violet, Rose Petals, Jasmine Sambac","Sandalwood, Amber, Dark Chocolate"
Pur Blanca Elegance,Avon,"Pear, Strawberry, Mandarin Orange","Gardenia, White Orchid, Jasmine","White Musk, Vanila, Amber"
Paper,Commodity,Iso E Super,Cedar,Sandalwood
Rose Amber Cologne 2024,Jo Malone London,"Clove, Pink Pepper","Rose, Ginger","Amber, White Musk, Patchouli"
Flower by Kenzo Summer 2008,Kenzo,"Ginger, Mandarin Orange, Litchi","Freesia, Parma Violet","White Musk, Incense"
Crystal,Bi Es,"Apple, Grapefruit, Galbanum, Orange","Jasmine, Lily-of-the-valley, Rose","Musk, Vanilla, Amber, Tonka Bean, Cedar"
Pink Taxi,Brocard,"Strawberry, Black Currant, Apple","Sweet Pea, Rose, Jasmine, Freesia","Musk, Sandalwood, Amber"
Zest Z T,Borntostandout,"Gin, Juniper, Lemon Verbena, Pink Pepper, Guatemalan Cardamom","Coriander, Clary Sage, Black Pepper","Elemi, Patchouli, Virginia Cedar"
Urbane,Vivamor Parfums,"Grapefruit, Pink Pepper, Brazilian Orange, Bergamot, Lemon","Cardamom, Lavender, Neroli, Gin","Amber, Sandalwood, Musk"
Silent,Parfums Genty,"Green Notes, Apple","Peony, Peach, Rose","Musk, Cedar"
Goji,L Erbolario,"Almond, Italian Lemon, Calabrian Bergamot","Goji Berries, Iris, French Rose, Star Anise","Patchouli, Vanila, Vetiver"
Aventus Oil,Creed,"Pineapple, Bergamot, Black Currant, Apple","Birch, Patchouli, Jasmine, Rose","Oakmoss, Musk, Ambergris, Vanilla"
More Is More,Wilgermain,"Chinese Osmanthus, Clary Sage, Davana","Rose Water, Broom, Leather","Haitian Vetiver, Ambrette (musk Mallow), Singapore Patchouli"
Cherry Lady Delicious,Brocard,"Milk, Cacao, Almond, Cloves, Lime","Cherry, Raspberry, Jasmine","Vanilla, Amber"
Slytherin Parfum,House of Sillage,"Grapefruit, Bergamot, Cardamom","Tobacco, Black Rose, Clary Sage","Patchouli, Australian Sandalwood, Musk"
Whispers of Time,House of Sillage,"Bergamot, Tunisian Neroli","Orange Blossom, Ginger","Cedar, Musk"
The Lawyer,Zarkoperfume,"Bergamot, Mandarin Orange, Lemon","Spices, Dark Chocolate, White Orchid","Resins, Sandalwood, Musk"
Bonne Etoile Baby Dior,Dior,Green Pear,Wild Rose,White Musk
Habit Rouge L Instinct,Guerlain,"Green Notes, Grapefruit, Bergamot","Cannabis, Mate, Red Rose","Leather, Patchouli, Vanilla"
Neroli Portofino Parfum,Tom Ford,"Neroli, Bergamot, Blood Orange, Lemon","Tunisian Neroli, Clary Sage, Jasmine Sambac, Pitosporum","Sylkolide, Musk, Amber"
Shahrazad Saherezada,Brocard,"Orange, Bergamot","Tuberose, Magnolia","Amber, Vanilla, Musk"
Oceanica,Faberlic,"Cucumber, Sea Notes, Black Currant Leaf","Water Lily, Violet, Cyclamen",Musk
Life Is Now for Him,Mexx,"Cardamom, Bergamot, Pineapple, Apple","Sea Notes, Lavender, Freesia","Sandalwood, Patchouli"
Osmanthus Fragrans,Acqua Di Stresa,"Osmanthus, Pomegranate","Rose, Camellia, Jasmine, Hyacinth","Musk, Amber"
Campfire Rebel,Pinrose,"Whiskey, Raspberry","Incense, Agarwood (oud)","Vetiver, Bourbon Vanilla"
Maroon,Max Philip,"Black Currant, Bergamot","Iris, Rose, Jasmine","Patchouli, Caramel, Leather, White Musk"
Pineapple,Max Philip,"Pineapple, Pineapple Leaf","Coconut, Patchouli, Orange Blossom","Vanilla, Sandalwood"
Summer White,Avon,"Aldehydes, Grapefruit, Freesia","Jasmine, Lily-of-the-valley, Orange, Orchid","Musk, Sandalwood"
Xi an,Guerlain,Bamboo,Floral Notes,Sandalwood
Hyrax,Zoologist Perfumes,"Saffron, Elemi, Pink Pepper, Turkish Rose","Hyrax, Whiskey, Styrax, Hyacinth","Castoreum, Civet, Amber, Benzoin, Patchouli, Sandalwood, Tonka Bean"
Puressence by Ecobeauty,Oriflame,"Basil, Citruses, Orange","Orange Blossom, Ylang-ylang, Jasmine, Bulgarian Rose","Vetiver, Spicy Notes, Heliotrope, Tonka Bean, Vanilla"
Sorbet Jolie,Faberlic,"Frosted Berries, Green Notes","Pear Ice Cream, Violet, Magnolia","Musk, Sandalwood, Ambrette (musk Mallow), Cedar"
Citronica,Faberlic,"Bergamot, Grapefruit, Black Currant Blossom","Bergamot, Grapefruit Blossom","Oakmoss, Patchouli, Musk, Sandalwood"
