perfume,brand,top notes,mid notes,base notes
Forever Mine for Women,Chevignon,"Red Berries, Rose, Citron","Lotus, Jasmine, Freesia","Patchouli, Musk, Sandalwood"
Beauty Cafe Caprice,Faberlic,"Wild Berries, Peach, Mandarin Orange","Gardenia, Jasmine","Vanilla, Sandalwood, Musk, Amber"
F Lovers,Faberlic,"Ozonic Notes, Lime, Chamomile","Water Lily, Green Tea, Bellflower","Cedarwood, Sandal, Akigalawood"
Be Wonderfully You,Iceberg,"Ginger, Bergamot, Raspberry, Red Fruits Sorbet","Jasmine, Peony","Amber, Sandalwood, Cedar"
Mexx Pure for Her,Mexx,Pomegranate,"Lotus, Tiare Flower","Vanilla, Sandalwood"
Oriental Rose,Vertus,"Lavender, Cardamom, Olibanum, Saffron, Lemon","Orris, Rose, Violet, Patchouli, Guaiac Wood, Cloves","Amber, Vetiver, Sandalwood, Musk, Cedar, Vanilla"
Fresh Oud,Rosendo Mateu Olfactive Expressions,"Grapefruit, Bergamot, Cardamom, Saffron, Ceylon Cinnamon","Agarwood (oud), Iris, Bulgarian Rose, Jasmine","Sandalwood, Leather, Cashmere Wood, Vanilla, Amber, Cedar, White Musk, Patchouli"
Pure Game Special Edition,Adidas,"Mandarin Orange, Grapefruit, Basil, Pepper","Lavender, Guaiac Wood, Cypress","Tonka Bean, Incense, Patchouli"
Bohemian Orange Blossom,Atelier Cologne,Orange,Neroli,Orange Blossom
Miss Boucheron,Boucheron,"Pink Pepper, Pomegranate, Bergamot","Bulgarian Rose, Cyclamen, Violet","White Suede, Musk, Virginian Cedar, Iris"
Glamour Lovely,Bourjois,Fruity Notes,"Turkish Rose, Jasmine Sambac",Musk
Leila Lou,By Rosie Jane,"Grass, Nectarine","Pear Blossom, Jasmine","White Musk, Vanilla"
Allegro Con Brio,Cale Fragranze D Autore,"Geranium, Artemisia, Clary Sage","Coriander, Clove, Rose, Lily-of-the-valley","Musk, Tonka Bean, Patchouli"
Signature,Celine Dion,"Mimosa, Red Apple, Guava","Magnolia, Rose, Jasmine","Sandalwood, Woodsy Notes, Musk, Amber"
Iris D Orient,Christian Provenzano Parfums,"Pink Pepper, Sicilian Bergamot, Cassis","Orris, Violet Leaves, Rose","Tonka Bean, Vanilla, Amber, Cypriol Oil or Nagarmotha, Sandalwood"
Rose De Courreges,Courreges,"Pink Grapefruit, Bamboo Leaf, Peach","Rose, Cherry Blossom, Violet","Lotus, Musk, Amber"
Cuba Cologne,Czech Speake,"Mint, Rum, Lime, Bergamot","Bay Leaf, Clove, Grass, Rose, Tonka Bean","Tobacco, Vetiver, Olibanum, Virginia Cedar"
Majestic Nard,Alexandre J,"Galbanum, Pink Pepper, Incense","Saffron, Nard Himalayan (jatamansi), Virginian Cedar","Patchouli, Sandalwood"
Ducalis,Angela Ciampagna,"Salt, Geranium, Nutmeg","Rose, Cedar, Cyclamen, Mimosa, Lily, Ylang-ylang","Musk, Palisander Rosewood, Leather, Sandalwood, Amber, Vanilla"
Kanat,Angela Ciampagna,"Saffron, Bergamot, Apricot, Peach, Black Currant","Salt, Magnolia, Cyclamen, Mimosa, Lily, Ylang-ylang","Musk, Vanilla, Patchouli"
Miraceti,Aesop,"Black Pepper, Pimento Leaf, Mate","Ambrette (musk Mallow), Styrax, Labdanum","Myrrh, Seaweed, Cedar"
D by Diesel,Diesel,"Ginger, Bergamot","Lavender, Cotton Flower","Vanilla, Amberwood"
Dkny My Ny,Donna Karan,"Raspberry, Pink Pepper, Galbanum","Egyptian Jasmine, Freesia, Orris Root","Patchouli, Vanilla Absolute, Musk, Ambergris"
Dkny Be Delicious City Nolita Girl,Donna Karan,Raspberry,"Magnolia, Violet",Sandalwood
Fable,Ellis Brooklyn,"Neroli, Black Currant","Honeysuckle, Petitgrain, Violet","Cedar, Amber"
Waka Madagascar,Fiilit,"Ginger, Ravensara, Petitgrain, Mandarin Orange, Bergamot","Geranium, Palmarosa, Eucalyptus, Cinnamon, Ylang-ylang, Jasmine","Patchouli, Sandalwood, Marigold, Vanilla, Siam Benzoin"
Blue,Franck Olivier,"Passionfruit, Peach, Mandarin Orange, Raspberry, Black Currant","Freesia, Jasmine, Rose","Musk, Sandalwood, Amber"
Black Princess,Haute Fragrance Company Hfc,"Ylang-ylang, Neroli, Violet","Rose, Cardamom, Ginger","Mate, Ambergris, Musk"
Proposal,Haute Fragrance Company Hfc,"Sweet Almond, Litchi, Black Currant, Bergamot","Heliotrope, Black Tea, Dried Fruits, Jasmine Sambac, Italian Jasmine","White Musk, Iris, Tonka Bean, Teak Wood, Vanilla, Patchouli"
Secrets De Volupte,Id Parfums,"Pear, Bergamot, Freesia","Magnolia, Jasmine","Musk, Cedar, Amber"
Wilde,Jardins D Ecrivains,"Grapes, Bergamot","Tea, Fig, Carnation","Vetiver, Oakmoss"
Wild Berries,Keiko Mecheri,"Blackberry, Black Currant","Raspberry, Cassis","White Musk, Woody Notes"
Crystal Peach,Kkw Fragrance,"Peach, Chamomile, Bergamot","Rose, Lotus, Jasmine","Musk, Sandalwood, Vanilla"
Crystal Vanilla,Kkw Fragrance,"Sugar, Fruits, Wild Berries, Orange","Vanilla, Honeysuckle, Poinsettia","Vanilla, Cacao, Benzoin"
Laura Rose,Laura Biagiotti,"Cassis, Black Currant, Orange, Amalfi Lemon","Rose, Wheat, Freesia","Patchouli, Musk"
Aqua Di Roma,Laura Biagiotti,"Bergamot, Lemon, Black Currant","Mimosa, Magnolia, Honeysuckle, Tuberose, Jasmine, Rose","Sandalwood, Musk, Amber, Vanilla"
Angelys Pear,Nicolai Parfumeur Createur,"Citron, Green Notes, Bergamot, Black Currant","Pear, Jasmine, Rose","Moss, Musk, Patchouli"
Panorama,Olfactive Studio,"Lemon, Bergamot","Grass, Wasabi, Fig Leaf, Galbanum, Cardamom, Violet Leaf","Balsam Fir, Myrrh, Vanilla, Tonka Bean, Patchouli, Labdanum, Musk"
Swim Sx,Pierre Guillaume Paris,Palisander Rosewood,"Algae, Ylang-ylang, Cannabis","Musk, Exotic Woods"
Extatic Eau De Toilette,Pierre Balmain,"Litchi, Black Currant, Green Mandarin","Turkish Rose, Magnolia, Jasmine","Musk, Ambroxan, Cedar"
Royal Marina Rubis,Princesse Marina De Bourbon,"Guava, Lemon, Orange","Peony, Rose, Mimosa, Jasmine, Heliotrope","Musk, Sandalwood, Amber"
Imperial Leather,Samy Andraus Fragrances,"Raspberry, Saffron, Thyme","Olibanum, Jasmine, Artemisia","Leather, Suede, Woody Notes, Amber"
Zephyr,Samy Andraus Fragrances,"Lemon, Saffron, Sage","Jasmine, Rose","Agarwood (oud), Amber"
Dreams Unlimited,The Body Shop,"Black Currant, Orange","Iris, Green Pepper, Red Chilli Pepper",Virginia Cedar
Glowing Cherry Blossom,The Body Shop,Japanese Cherry Blossom,Osmanthus,Sandalwood
Alpha Aoud,The Dua Brand,"Cypriol Oil or Nagarmotha, Sicilian Bergamot, Gurjan Balsam, Valerian","Egyptian Jasmine, Geranium, Bulgarian Rose, Nutmeg, Oregano","Agarwood (oud), Patchouli, Haitian Vetiver, Birch, Labdanum"
Nonchalance,Maurer Wirtz,"Aldehydes, Green Leaves, Raspberry","Jasmine, Lily-of-the-valley, Rose, Violet, Orris Root, Geranium","Musk, Tonka Bean, Sandalwood, Oakmoss, Cedar, Amber"
Divine Moon,Tory Burch,"Bergamot, Rhubarb","Lady of the Night Flower, Honey","Sandalwood, Almond Milk"
Early Roses,Teo Cabanel,"Rose, Water Notes, Jasmine","Bulgarian Rose, Pink Pepper, Jasmine","Musk, Amber, Woody Notes"
Tiare,Solinotes,"Coconut, Peach",Tiare Flower,Amber
B U Golden Kiss,Sarantis,"Pear, Bergamot, Apple","Jasmine, Violet Leaf, Plum","Sandalwood, Vanilla, Musk"
C Thru Blooming,Sarantis,"Big Strawberry, Pineapple, Pear","Orange Blossom, Honeysuckle, Tea","Vanilla, Musk, Sandalwood"
S Oliver for Him,S Oliver,"Black Tea, Pink Pepper, Apple","Violet Leaf, Rosemary, Geranium","Musk, Moss, Tonka Bean"
3600 for Men,Perry Ellis,"Juniper Berries, Lemon, Bergamot","Lavender, Sage, Cardamom, Freesia","Woody Notes, Vetiver, Musk"
Intimity,Pacoma,"Peach, Pepper, Orange Blossom, Bergamot","Orchid, Cloves, Cinnamon, Rose","Tonka Bean, Musk, Sandalwood"
Alma Pure,Moresque,"Blackberry, Cassis","May Rose, Champagne, Lime (linden) Blossom","White Musk, Birch, Amber, Patchouli"
Mythique Vetyver,Mizensir,"Sicilian Lemon, Calabrian Bergamot","Bourbon Geranium, Labdanum","Haitian Vetiver, Papyrus, Patchouli"
As Suli S Diamond,Mind Games,"Fig Leaf, Mandarin Orange, Bergamot","Broom, Tonka Bean, Ylang-ylang","Incense, Opoponax, Amberwood, Myrrh"
Ten Strike,M Int,"Bergamot, Orange, Palisander Rosewood, Pink Pepper","Balsam Fir, Patchouli, White Flowers, Geranium","Oakmoss, Cedar, Benzoin, Musk"
315 Prestige,La Rive,"Mint, Bergamot","Cedar, Lavender","Vanilla, Amber"
Cabana,La Rive,"Cinammon, Cardamom","Lavender, Eucalyptus, Cloves","Vanilla, Moss"
Rose Oud,Korloff Paris,"Myrtle, Citruses","Agarwood (oud), Saffron, Rose, Red Berries","Castoreum, Styrax, Cashmere Wood, Guaiac Wood"
Delicious Black Powder,Jousset Parfums,"Cacao, Saffron, Bergamot","Tonka Bean, Vanilla, Immortelle","Cacao, Suede, Vanilla"
Miss Wild,Joop,Pink Pepper,Vanilla,Rum
Aire Altitude,Jequiti,"Lemon, Lavender, Citruses","Galbanum, Patchouli, Carnation","Moss, Cedar, Leather"
Carlinhos Maia,Jequiti,"Apple, Sage, Mint, Grapefruit","Coumarin, Violet Leaf, Geranium","Benzoin, Sandalwood, Vetiver, Cedar"
Dirty Lemon,Heretic Parfums,"Lemon, Bergamot, Lime, Citrus Leaf","Ylang-ylang, Juniper, Black Pepper","Australian Sandalwood, Patchouli"
Rose Noire Secret,Giorgio Valenti,"Bergamot, Kumquat, Freesia","Rose, Orchid, Tuberose, Jasmine","Musk, Sandalwood, Amber, Benzoin, Patchouli"
Orb of Night Opulence,Ghost,"Pink Pepper, Mandarin Orange, Orris Root","Orange Blossom, Jasmine, Tuberose, Rose","Tonka Bean, Sandalwood, Cacao Pod, Cappuccino"
Sportissimo,Galimard,"Artemisia, Bergamot, Rosemary","Lavender, Orange Blossom","Musk, Sandalwood, Cedar"
Geranium,Franck Boclet,"Lavender, Lime, Grapefruit","Geranium, Heliotrope, Orange Blossom","Musk, Sandalwood, Vanilla"
Pomme D or,Evody Parfums,"Lime, Bergamot","Juniper Berries, Lotus","Virginia Cedar, Oak Moss"
Enrico Coveri Paillettes Nuit,Enrico Coveri,"Bergamot, Peony, Freesia","Rose, Lily-of-the-valley, Plum","Musk, Cedar, Patchouli"
Kaorikuro,Dilis Parfum,"Pepper, Cardamom, Ginger","Gardenia, Coconut, Peony, Orange Blossom","Sandalwood, Amber, Musk"
Instinct Sport,David Beckham,"Mandarin Orange, Ginger, Violet Leaf","Red Apple, Ozonic Notes, Geranium","Cashmeran, Sandalwood, Patchouli"
Chic,Betty Barclay,"Black Currant, Bergamot, Mandarin Orange","Ylang-ylang, Magnolia, Rose","Vanille, Heliotrope, Sandalwood"
Khashab Al Oud,Bait Al Bakhoor,"Woodsy Notes, Powdery Notes","Agarwood (oud), Musk, Sweet Notes","Spicy Notes, Amber"
Axis Red Caviar,Axis,"Pink Pepper, Tangerine, Raspberry, Peach, Pomegranate","Orchid, Freesia, Rose, Heliotrope, Violet Leaf","Sandalwood, Vanille, Amber, Patchouli"
Bois Sikar,Atelier Des Ors,"Precious Woods, Nutmeg","Styrax, Guaiac Wood, Cedar Leaves","Tobacco Leaf, Java Vetiver Oil"
Of Course,Al Rehab,"Mint, Water Notes, Bergamot","Rose, Vetiver, Lily","Amber, Musk"
Legesi Femme,Armaf,"Peach, Lemon, Litchi, Bergamot","Cinnamon, Apple, Jasmine, Lily-of-the-valley","Cedar, Sandalwood, Musk"
Man,Avon,"Black Pepper, Bergamot, Bergamot Leaf","Apple, Lavender, Nutmeg","Amber, Moss, Guaiac Wood"
Simply Because for Him,Avon,"Grapefruit, Juniper Berries, Water Notes","Lavender, Green Apple, Violet Leaf","Cedar, Hay, Vanilla"
Soft Musk Delice Velvet Berries,Avon,Rhubarb,Red Berries,Sandalwood
Ballroom Beauty,Avon,"Raspberry, Strawberry, Lemon","Rose, Violet Leaf, Jasmine","Musk, Amber, Sandalwood"
Chrome Azure,Azzaro,Bergamot,Lavender,Sea Notes
Mademoiselle Azzaro L Intense Eau De Parfum,Azzaro,Pear,White Flowers,Calissons D'aix
Burberry Summer Women 2009,Burberry,"Litchi, Red Currant, Mandarin Orange, Grapes","Freesia, Cyclamen, Jasmine, Rose","Cedar, Sandalwood, Musk"
Sunkissed Goddess,By Kilian,"Bergamot, Neroli","Tiare Flower, Ylang-ylang","Coconut, Vanilla, Guaiac Wood, Labdanum"
Eyes Closed,Byredo,"Cinnamon, Cardamom","Orris, Carrot, Ginger","Papyrus, Patchouli"
Anais Anais Eau Legere,Cacharel,"Lily, Tiare Flower, Frangipani, Ylang-ylang, White Honey","Honeysuckle, Jasmine, African Orange Flower","Chocolate Flower, Vanille, Musk"
Eternity Eau De Parfum Intense for Women,Calvin Klein,Turkish Rose,Sichuan Pepper,Jasmine Sambac
Deep Euphoria Eau De Toilette,Calvin Klein,"Water Lily, Pear",Black Rose,"Woody Notes, Musk"
Pure Gold Euphoria Women,Calvin Klein,"Dates, Solar Notes, Neroli","Almond, Ylang-ylang, Orange Blossom, Rose","Leather, Vanilla Absolute, Benzoin, Patchouli, Musk"
Alegria De Vivir,Carolina Herrera,"Litchi, Mandarin Orange","Peony, Rose, Cedar","Steam Accord, Rice"
Solar Bloom,Clean,"Bergamot, Mandarin Orange","Coconut Milk, Orange Blossom, Freesia, Jasmine","Vetiver, Coal, Patchouli"
Creed Pour Enfants,Creed,"Grapefruit, Lemon","Apple, Rose",Plum
Cool Water Woman Summer Edition 2019,Davidoff,Melon,Lily-of-the-valley,Violet Root
Dolce Rosa Excelsa,Dolce Gabbana,"Neroli, Papaya Flower","Rose, Turkish Rose, Water Lily, Narcissus, Amaryllis","Musk, Cashmere Wood, Sandalwood"
K by Dolce Gabbana Eau De Parfum Intense,Dolce Gabbana,"Blood Orange, Sicilian Lemon","Fig, Saffron","Leather, Woody Notes"
Especially Escada Elixir,Escada,"Pear, Grapefruit, Ambrette (musk Mallow)","Turkish Rose, Plum, Dried Plum, Ylang-ylang","Patchouli, White Musk, Cashmere Wood, Amber, Madagascar Vanilla"
Pleasures Pop,Estee Lauder,"Raspberry, Litchi, Black Currant, Freesia, Pink Grapefruit","Lily, Pink Peony, Rose, Jasmine","Musk, Heliotrope, Cedar, Vanilla, Benzoin, Cashalox"
Shakespeare in Love,A Dozen Roses,Pear,"Rose, Gardenia, Jasmine","Vanille, Woodsy Notes"
Amber Musk,Alyssa Ashley,Jasmine,"Benzoin, Iris","Vanilla, Amber, Musk"
Play in the City for Him,Givenchy,"Licorice, Citruses","Amyris, Iris","Amber, Woody Notes"
Rebrode,Gritti,"Fruity Notes, Lemon, Mandarin Orange, Red Berries","Passionfruit, Floral Notes, Amber","Musk, Woody Notes, Vanilla, Patchouli"
Boss Alive Eau De Parfum,Hugo Boss,"Madagascar Vanilla, Cinnamon, Plum, Apple, Black Currant","Jasmine Sambac, Thyme","Woodsy Notes, Sandalwood, Cedar, Olive Tree"
Boss the Scent for Her Magnetic,Hugo Boss,Osmanthus,"Musk, Ambrette (musk Mallow)","White Musk, Amber"
Hugo Xy Summer Edition,Hugo Boss,Grapefruit,"Cardamom, Quince","Woodsy Notes, Cinnamon"
White Spirit,Juliette Has a Gun,"Tuberose, Jasmine Sambac","Tuberose, Ambroxan","Musk, Sandalwood, Amber, Cedar"
Flower by Kenzo,Kenzo,"Bulgarian Rose, Hawthorn, Black Currant, Mandarin Orange","Parma Violet, Rose, Opoponax, Jasmine","Vanilla, White Musk, Incense"
Kenzo Homme Sport,Kenzo,"Mint, Grapefruit, Lemon","Spices, Ginger Flower, Geranium","Cedar, Vetiver"
Kenzo Homme Sport Extreme,Kenzo,"Mint, Lemon, Black Pepper","Sea Notes, Elemi","Cedar, Vetiver"
Ciel Magnolia,Kenzo,Magnolia,Musk,Sandalwood
L Eau Kenzo Intense Pour Homme,Kenzo,"Sea Water, Yuzu, Lime",Black Basil,"Cedar, Vetiver"
L Eau Par Kenzo Colors Pour Femme,Kenzo,"White Peach, Mandarin Orange, Ginger","Jasmine, Lily, Rose","White Musk, Cedar"
Mure Et Musc,L Artisan Parfumeur,"Basil, Amalfi Lemon, Mandarin Orange, Orange","Blackberry, Red Berries","Musk, Oakmoss"
Verseau,M Micallef,"Bergamot, Star Anise, Green Mandarin","Nutmeg, Violet, Cashmere Wood","Moss, Musk, Patchouli, Leather"
Mod Noir,Marc Jacobs,"Green Notes, Yuzu, Clementine","Gardenia, Water Lily, Tuberose, Magnolia","Nectarine, Orange Blossom, Musk"
Honey,Marc Jacobs,"Punch, Pear, Mandarin Orange","Honeysuckle, Orange Blossom, Peach","Honey, Vanilla, Woodsy Notes"
Blue Matcha,Montale,"Matcha Tea, Black Currant, Lemon, Sicilian Mandarin, Bergamot","Leather, Cedar, Tobacco, Patchouli Leaf","Mate, Powdery Notes, Musk, Ambergris"
Diamond Greedy,Montale,"Pear, Mandarin Orange","Vanilla, Rose, Jasmine","White Musk, Patchouli"
Diamond Rose,Montale,"Fig Leaf, Bergamot, Geranium","Turkish Rose, Patchouli","Sandalwood, Vanilla"
Horus Verde Citro,Natura,"Sicilian Lemon, Cardamom, Watery Notes, Bergamot","Vetiver, Lavender, Pepper, Cedar","Sandalowood, Moss, Amber, Leather, Musk"
Nativa Spa Violeta Senses,O Boticario,"Red Berries, Cherry","Rose, Lily-of-the-valley, White Flowers","Sugar, Sandalwood, Amber"
Uomini Moto Soul,O Boticario,"Black Pepper, Cardamom, Coriander, Thyme","Indonesian Pepper, Cinnamon Leaf, Patchouli, Geranium","Amber, Tonka Bean, Vanilla, Musk"
Lady Million,Paco Rabanne,"Raspberry, Neroli, Amalfi Lemon","Jasmine, African Orange Flower, Gardenia","White Honey, Patchouli, Amber"
Blasted Bloom,Penhaligon S,"Sea Water, Green Leaves, Wild Berries","Pink Pepper, English Rose, Hawthorn","Moss, Cedar, Musk"
Al Wisam Evening,Rasasi,"Lavender, Lemon","Galbanum, Black Currant Leaf, Rose","Sandalwood, Musk"
Gold,Roberto Verino,"Gardenia, Bergamot","Jasmine, Orris Root, Peony, Rose","Musk, Amber, Tonka Bean, Patchouli, Sandalwood"
Mellow,Roberto Verino,"Pear, Peach, Bergamot, Orange","Forest Fruits, Violet, Rose, Jasmine","Vanilla, White Musk, Sandalwood, Amber"
Vv Tropic,Roberto Verino,"Apricot, Mango, Orange, Lily-of-the-valley, Coconut, Pineapple",Magnolia,"Musk, Sandalwood, Vanilla"
Eau De Rochas Escapade Exotique,Rochas,"Blood Orange, Apple, Black Currant","Watermelon, Melon, Jasmine","Ambroxan, White Cedar Extract, Musk"
Little Kiss,Salvador Dali,"Rose Hip, Red Currant, Black Currant, Marigold","Peony, Tea Rose, Peach, Cyclamen","Musk, Sandalwood, Patchouli"
Signorina Leather Edition,Salvatore Ferragamo,"Red Currant, Pink Pepper","Jasmine, Peony, Rose","Panacotta, Patchouli, Musk"
Cieli Di Seta,Salvatore Ferragamo,Black Pepper,"Blueberry, Silk",Musk
Tommy Bahama,Tommy Bahama,"Cactus, Clementine, Bergamot","Frangipani, Tuberose, Honeysuckle","Nectarine, Woodsy Notes, Musk"
Versus Time for Energy,Versace,"Green Tea, Mandarin Orange","Lemon Tree, Yuzu, Mint","Oakmoss, Cedar, Amber"
Stockholm 1978,Vilhelm Parfumerie,"Lemon, Black Pepper, Almond","Rosemary, Geranium","Moss, Patchouli, Black Amber"
La Tosca,Xerjoff,"Green Mandarin, Italian Lemon","Violet Leaf, Eucalyptus, Bulgarian Rose","Musk, Patchouli, Madagascar Vanilla, Amber"
Libre L Absolu Platine,Yves Saint Laurent,"Aldehydes, Bergamot, Mandarin Orange","Lavender, Blue Lavender, Orange Blossom","Vanilla, Amber"
Tokyo Takeshita Harajuku,Zara,Pomelo,Magnolia,Cedar
Inconfessable,Wilgermain,"Black Pepper, Pepper, Ginger","Nutmeg, Coriander, Cardamom","Cedar, Woody Notes, Patchouli"
Tiffany Co,Tiffany,"Mandarin Orange, Bergamot, Lemon","Iris, Rose, Black Currant, Peach","Musk, Patchouli"
L Eau Revee D Ikar,Sisley,"Lemon, Bitter Orange, Geranium","Mastic or Lentisque, Iris, Pistachio","Vetiver, Labdanum, Sandalwood"
Love Rock by Shakira,Shakira,"Bergamot, Grapefruit","Red Apple, Jasmine, Rose","Oriental Notes, Sandalwood, Musk"
Born to Fly for Her,Oriflame,"Pink Pepper, Magnolia, Mandarin Orange","Pear, Freesia, Rose","Agave Nectar, Sandalwood, Amber"
Memories Chasing Butterflies,Oriflame,Black Currant,"Lime (linden) Blossom, White Flowers","Ambrette (musk Mallow), Vanilla"
Signature Heritage,Oriflame,"Paprika, Sage, Bergamot","Coffee, Geranium, Iris","Incense, Tonka Bean, Cedar"
Love Fury Kiss,Nine West,"Mandarin Orange, Granny Smith Apple, Litchi","Honeysuckle, Jasmine","Musk, Amber, Woody Notes"
Nautica,Nautica,"Aldehydes, Lime, Lemon, Bergamot, Neroli, Cypress, Tarragon, Clary Sage, Coriander, Cinnamon","Jasmine, Cyclamen, Rose, Geranium, Caraway","Sandalwood, Cedar, Musk, Patchouli, Oakmoss, Amber"
Mustang Sport,Mustang,"Grapefruit, Black Pepper, Sicilian Bergamot","Cardamom, Basil, Water Violet, Caraway","Sandalwood, Sequoia, Musk"
Island Capri,Michael Kors,"Cypress, Bitter Orange, Basil, Bergamot","Rose, Fig Leaf, Parma Violet, Jasmine","Olive Tree, Oakmoss, Leather"
Canyon Sky for Her,Hollister,"Bergamot, Red Currant, Raspberry","Peony, Orange Blossom, Heliotrope","Praline, Musk, Sandalwood"
Festival Vibes for Her,Hollister,"Goji Berries, Quince, Bergamot","Vanilla Orchid, Pink Peony, Osmanthus, Hibiscus","Tonka Bean, Musk, Cashmere Wood"
Nostalgia,Granado,"Pink Pepper, Mandarin Orange, Bergamot","Rose, Lily, Orange Blossom","Cashmeran, Musk, Amber"
Cocktail Seduction Blue for Women,Antonio Banderas,"Mandarin Orange, Litchi, Pink Pepper","Peony, Jasmine, Gardenia","Cedar, Musk, Benzoin, Tonka Bean"
Benetton Verde Man,Benetton,"Grapefruit, Melon, Cardamom","Violet Leaf, Nutmeg, Geranium","Virginia Cedar, Benzoin, Guaiac Wood"
Energy Man,Benetton,"Pineapple, Basil, Lemon, Anise","Tonka Bean, Coriander, Lavender, Pepper","Vanilla, Patchouli, Cedar"
Moi,Bi Es,"Plum, Freesia, Peach, Green Notes","Lily-of-the-valley, Jasmine, Ylang-ylang, Rose, Iris","Musk, Sandalwood, Cedar, Vanilla, Amber, Tonka Bean"
Presentable Woman Light Edition,Brocard,"Bergamot, Lemon, Neroli","Jasmine, Lily, Rose","Honey, Musk, Vetiver"
Inner Sun,Brocard,"Orange, Mandarin Orange, Kumquat, Lemon, Lime, Bergamot","Nectarine, Peach, Apricot, Pear","Musk, Sandalwood, Cedar"
Sand Service,Cra Yon,"Cardamom, Violet Leaf","Papyrus, Orris","Sandalwood, Cedar, Leather, Amber"
Sweet Disruption W T,D Orsay,"Aldehydes, Mint, Mandarin Orange, Pink Pepper","Frankincense, Egyptian Jasmine, Geranium","Frankincense, Vetiver, Moss"
Tavarua for Her,Faberlic,"Pomegranate, Red Currant, Pink Freesia, Peach","Jasmine, White Tea, Peony","Musk, Atlas Cedar, Madagascar Vanilla"
Mexx Woman Festival Summer,Mexx,"Pineapple Leaf, Pear","Mirabelle Plum, Magnolia, Freesia","Musk, Sandalwood"
Mint Man,Toni Gard,"Mandarin Orange, Watermelon, Passionfruit, Bergamot","Mint, Lavender, Lotus","Spicy Notes, Oriental Notes"
Signature Cocoloco,Zaharoff,"Clementine, Pineapple, Pear, Cardamom","Coconut, Pimento, Star Jasmine, Cedar, Neroli","Tonka Bean, Vanilla, White Musk, Heliotrope, Benzoin"
1989,Theodoros Kalotinis,"Black, Pink Pepper","Plum, Raspberry","Patchouli, Olibanum"
Lovely You,Sarah Jessica Parker,"Water Lily, Plum Blossom, Freesia","Orange Blossom, Jasmine, Pink Peony","Musk, Benzoin, Vanilla Orchid"
Eau Provocateur,Agent Provocateur,"Red Berries, Citruses","African Orange Flower, Lily-of-the-valley","Myrhh, Tonka Bean, Vanille"
L Agent Eau Provocateur,Agent Provocateur,"Green Notes, Bergamot, Melon, Red Apple, Peach, Mandarin Orange","Magnolia, Jasmine, Freesia, Rose, Ylang-ylang, Tuberose","Musk, Patchouli, Sandalwood, Amber"
Infuse,Akro,"Bergamot, Guaiac Wood","Mate, Oolong Tea, Osmanthus, Apricot, Magnolia, Freesia","Ambroxan, Vetiver"
